iter	RMSE
0	1.43196179
1	1.295443703
2	1.184394978
3	1.099919843
4	1.033383983
5	0.9808224272
6	0.9382813331
7	0.9062417174
8	0.8815170292
9	0.8586286536
10	0.8411828787
11	0.8258419972
12	0.8113591316
13	0.7990341969
14	0.7882616
15	0.7794503072
16	0.77098388
17	0.7627449438
18	0.7551316905
19	0.7467868859
20	0.7381552287
21	0.732098606
22	0.7262158385
23	0.7199738768
24	0.7134866196
25	0.708197323
26	0.7033494836
27	0.6975385979
28	0.6933328059
29	0.6891230372
30	0.6849416029
31	0.6812761589
32	0.6771406812
33	0.6738531998
34	0.6676264786
35	0.6648697584
36	0.6618505518
37	0.6583148998
38	0.654023471
39	0.6513028523
40	0.6487421962
41	0.6457541947
42	0.6434834372
43	0.641002121
44	0.6380250335
45	0.6355091055
46	0.6331815272
47	0.6308448019
48	0.6272813559
49	0.6253787997
50	0.6224514245
51	0.6207872789
52	0.6182906252
53	0.6156731032
54	0.6137334641
55	0.6123595738
56	0.6109646361
57	0.6087352574
58	0.606626372
59	0.6037912082
60	0.6023978643
61	0.6008179067
62	0.5987474731
63	0.5968245907
64	0.5949557414
65	0.5924134032
66	0.5905817499
67	0.5892756771
68	0.5873639345
69	0.5862563282
70	0.5851570822
71	0.5836267928
72	0.5826634897
73	0.5811780562
74	0.5796565601
75	0.5782091086
76	0.576516381
77	0.5745277505
78	0.5728773452
79	0.571476078
80	0.5698293321
81	0.568845058
82	0.5676662444
83	0.5664710087
84	0.5650178469
85	0.5639213351
86	0.5625593955
87	0.5614496174
88	0.5601819355
89	0.5593238366
90	0.5579812836
91	0.5570846616
92	0.555217078
93	0.553731134
94	0.5526751768
95	0.5518190561
96	0.5509884517
97	0.5494756984
98	0.5486020222
99	0.5474569854
100	0.546503526
101	0.5453509323
102	0.5443020744
103	0.543363585
104	0.5426627776
105	0.5419507405
106	0.5410119987
107	0.5403427874
108	0.5393910686
109	0.5388405421
110	0.5382076209
111	0.5375529234
112	0.5368550285
113	0.5360169863
114	0.5345599188
115	0.5339332157
116	0.533024658
117	0.5322275183
118	0.5314343284
119	0.5305323003
120	0.5293674128
121	0.5285697754
122	0.5278951352
123	0.5273685822
124	0.5261026298
125	0.525359589
126	0.5249990339
127	0.5245147913
128	0.523642748
129	0.5229409504
130	0.5219622922
131	0.5210226033
132	0.5199716554
133	0.5191638395
134	0.5186357246
135	0.5178886314
136	0.5171393952
137	0.5164127644
138	0.5154761454
139	0.5150235485
140	0.5145458095
141	0.5138252423
142	0.5132171765
143	0.5125412844
144	0.5120179535
145	0.5115910292
146	0.5110888957
147	0.5100359535
148	0.5095965248
149	0.5090025229
150	0.5085977575
151	0.5079466542
152	0.5073973656
153	0.5065011991
154	0.5055707809
155	0.5050481958
156	0.5045883652
157	0.5040039775
158	0.5034517107
159	0.5029574049
160	0.5025360181
161	0.5020037181
162	0.5015363042
163	0.5009808929
164	0.5006099397
165	0.5000290324
166	0.4993816755
167	0.49885175
168	0.4982800304
169	0.497764163
170	0.4971912061
171	0.496483652
172	0.4957162996
173	0.4950115604
174	0.4945690181
175	0.4942849134
176	0.493958495
177	0.493550094
178	0.4929359192
179	0.4923982784
180	0.4920687147
181	0.4916442615
182	0.4913042699
183	0.4908615328
184	0.4902411904
185	0.489782824
186	0.4888515526
187	0.4883342055
188	0.4879265845
189	0.4876210789
190	0.487298177
191	0.4869390269
192	0.4865442436
193	0.4861272059
194	0.4857625736
195	0.4853549033
196	0.4849044206
197	0.484557694
198	0.4839927344
199	0.4836128379
200	0.4830728831
201	0.4827637334
202	0.4822290196
203	0.4817196929
204	0.4813758461
205	0.4810263779
206	0.4806436142
207	0.4804005509
208	0.4801103361
209	0.4796603776
210	0.4792409003
211	0.4788471057
212	0.478464868
213	0.4781252807
214	0.4777372501
215	0.4774216182
216	0.47698908
217	0.4766239029
218	0.4763256616
219	0.4759830613
220	0.4755818567
221	0.4752076203
222	0.474851078
223	0.4745309148
224	0.4741764101
225	0.4739969635
226	0.4736859686
227	0.4733081262
228	0.473036728
229	0.4728230931
230	0.4725256506
231	0.4722459221
232	0.471949639
233	0.4716968164
234	0.4714367436
235	0.4712752438
236	0.4709063863
237	0.4705277205
238	0.4703107555
239	0.470035933
240	0.469682227
241	0.4693189111
242	0.4690524341
243	0.4686412535
244	0.4684150192
245	0.468129506
246	0.4679142549
247	0.4676696447
248	0.4674116001
249	0.4670808676
250	0.4668427999
251	0.4664132688
252	0.4660722233
253	0.4658279051
254	0.465549079
255	0.4652314084
256	0.4649429883
257	0.4645229523
258	0.4641807828
259	0.4640057811
260	0.4638095887
261	0.4636891699
262	0.4634673683
263	0.4632351355
264	0.4629866322
265	0.4627126629
266	0.4625405308
267	0.462198405
268	0.4615947392
269	0.4613984257
270	0.4611116332
271	0.4608436732
272	0.4606201628
273	0.4603856193
274	0.4600210273
275	0.4597794039
276	0.4596495164
277	0.4594199986
278	0.4591696277
279	0.4589627427
280	0.4587775939
281	0.4583734495
282	0.45800749
283	0.457786284
284	0.4574708696
285	0.4571892716
286	0.4569826024
287	0.4567465398
288	0.4565470712
289	0.4563486411
290	0.4561076725
291	0.4558918715
292	0.4556411113
293	0.4553454519
294	0.4551355336
295	0.4549792176
296	0.4547152605
297	0.4544669189
298	0.4542696064
299	0.4540194136
300	0.4536479823
301	0.4534396942
302	0.4532060249
303	0.4529683834
304	0.4527621994
305	0.4525043143
306	0.4523070169
307	0.4519234399
308	0.4517471485
309	0.4516024313
310	0.451394676
311	0.4512119285
312	0.4510002618
313	0.4506774301
314	0.4505176522
315	0.4502746583
316	0.4500644812
317	0.4499159959
318	0.4497668444
319	0.4495265082
320	0.4493236895
321	0.4491597983
322	0.4489770828
323	0.4486834469
324	0.4484394461
325	0.4483018096
326	0.4481036481
327	0.447882394
328	0.4477404561
329	0.4475577879
330	0.447349325
331	0.447151688
332	0.446962812
333	0.4468506808
334	0.4466600256
335	0.4464816993
336	0.4461965137
337	0.4460415599
338	0.4458719966
339	0.4456916608
340	0.4455143708
341	0.4453755193
342	0.4452250195
343	0.4450146097
344	0.4448419585
345	0.444752393
346	0.4446084832
347	0.4444584557
348	0.4443349778
349	0.4440725015
350	0.4437845314
351	0.4435762354
352	0.4433693499
353	0.4432397871
354	0.4430936002
355	0.442967871
356	0.4428209499
357	0.442652911
358	0.442518703
359	0.4422222273
360	0.4419540213
361	0.4417361403
362	0.4415558549
363	0.441425745
364	0.4412664996
365	0.4410475524
366	0.4408839292
367	0.440744348
368	0.4405473556
369	0.4404218894
370	0.4402187131
371	0.4400560741
372	0.439823433
373	0.4396944476
374	0.4395219871
375	0.4392301551
376	0.4386677103
377	0.4385173771
378	0.4383845339
379	0.438311136
380	0.4381505471
381	0.4379556526
382	0.437799803
383	0.4377049572
384	0.4375454447
385	0.4374138768
386	0.4371304494
387	0.43689474
388	0.436788994
389	0.4367326981
390	0.4365720744
391	0.4364315565
392	0.4362149291
393	0.4360765402
394	0.435952643
395	0.4358206904
396	0.435644254
397	0.4354876663
398	0.4353887534
399	0.4352552507
400	0.4350983992
401	0.4348669234
402	0.4347440103
403	0.4346289203
404	0.4344738582
405	0.4343159697
406	0.4341525416
407	0.4340131257
408	0.4338681174
409	0.433624743
410	0.4334567147
411	0.4333327258
412	0.43320159
413	0.4330805867
414	0.4329444661
415	0.4327787439
416	0.4326659586
417	0.4324970696
418	0.4323783968
419	0.432237166
420	0.4321141226
421	0.4320068946
422	0.4318403359
423	0.431701979
424	0.4315967025
