iter	Passed	Remaining
0	27	11739
1	40	8639
2	56	7961
3	71	7491
4	86	7279
5	104	7272
6	119	7112
7	133	6946
8	147	6818
9	159	6607
10	171	6450
11	181	6252
12	193	6147
13	207	6095
14	216	5918
15	225	5752
16	236	5674
17	251	5682
18	261	5585
19	274	5552
20	286	5508
21	296	5428
22	307	5379
23	318	5317
24	330	5294
25	341	5243
26	352	5193
27	364	5173
28	376	5136
29	387	5097
30	398	5063
31	410	5037
32	421	5004
33	432	4972
34	444	4954
35	455	4920
36	467	4899
37	478	4869
38	491	4861
39	503	4846
40	513	4811
41	525	4795
42	537	4776
43	548	4748
44	559	4725
45	572	4717
46	585	4707
47	597	4694
48	610	4686
49	620	4652
50	632	4636
51	643	4612
52	655	4600
53	668	4593
54	679	4568
55	690	4549
56	703	4540
57	715	4527
58	726	4509
59	739	4499
60	750	4477
61	761	4456
62	775	4454
63	787	4439
64	800	4431
65	812	4420
66	824	4403
67	839	4405
68	855	4412
69	869	4411
70	883	4403
71	896	4393
72	907	4375
73	919	4361
74	930	4344
75	943	4331
76	955	4316
77	968	4306
78	980	4295
79	993	4284
80	1006	4273
81	1017	4255
82	1031	4249
83	1043	4237
84	1057	4228
85	1068	4211
86	1078	4191
87	1093	4186
88	1103	4167
89	1116	4155
90	1129	4146
91	1140	4127
92	1151	4111
93	1164	4102
94	1176	4086
95	1188	4073
96	1202	4065
97	1214	4052
98	1226	4037
99	1236	4020
100	1248	4003
101	1261	3995
102	1274	3984
103	1285	3969
104	1297	3954
105	1309	3939
106	1321	3926
107	1335	3918
108	1347	3907
109	1361	3897
110	1371	3879
111	1383	3867
112	1396	3855
113	1407	3840
114	1419	3827
115	1431	3813
116	1443	3799
117	1454	3785
118	1467	3772
119	1477	3755
120	1493	3751
121	1505	3739
122	1516	3723
123	1528	3711
124	1543	3704
125	1565	3715
126	1583	3716
127	1598	3708
128	1609	3693
129	1620	3677
130	1633	3665
131	1647	3656
132	1660	3644
133	1672	3631
134	1684	3618
135	1697	3606
136	1710	3596
137	1721	3579
138	1733	3566
139	1745	3554
140	1757	3540
141	1769	3525
142	1782	3515
143	1794	3501
144	1807	3490
145	1818	3474
146	1830	3462
147	1845	3453
148	1856	3438
149	1869	3426
150	1881	3414
151	1894	3401
152	1906	3390
153	1918	3375
154	1930	3362
155	1943	3351
156	1954	3336
157	1966	3322
158	1978	3310
159	1991	3298
160	2020	3312
161	2060	3344
162	2090	3359
163	2105	3350
164	2119	3339
165	2135	3332
166	2147	3317
167	2158	3301
168	2172	3291
169	2184	3277
170	2198	3265
171	2213	3255
172	2224	3239
173	2237	3227
174	2248	3212
175	2261	3199
176	2273	3185
177	2285	3170
178	2297	3156
179	2311	3146
180	2322	3131
181	2336	3120
182	2349	3106
183	2363	3095
184	2376	3083
185	2390	3071
186	2405	3061
187	2416	3046
188	2431	3036
189	2443	3022
190	2454	3006
191	2467	2994
192	2479	2980
193	2491	2966
194	2504	2954
195	2516	2939
196	2528	2926
197	2542	2915
198	2554	2901
199	2569	2890
200	2583	2879
201	2598	2868
202	2612	2857
203	2629	2849
204	2645	2839
205	2657	2825
206	2672	2814
207	2683	2799
208	2698	2788
209	2710	2774
210	2724	2763
211	2737	2750
212	2749	2736
213	2762	2724
214	2777	2712
215	2789	2699
216	2803	2687
217	2815	2673
218	2828	2660
219	2841	2647
220	2853	2633
221	2865	2620
222	2879	2608
223	2891	2594
224	2905	2582
225	2916	2568
226	2928	2554
227	2942	2542
228	2955	2529
229	2968	2516
230	2980	2503
231	2994	2490
232	3005	2476
233	3017	2462
234	3032	2451
235	3042	2436
236	3054	2422
237	3068	2411
238	3083	2399
239	3098	2388
240	3111	2375
241	3126	2364
242	3138	2350
243	3149	2336
244	3163	2324
245	3174	2310
246	3186	2296
247	3198	2283
248	3210	2269
249	3222	2255
250	3235	2243
251	3248	2230
252	3261	2217
253	3273	2203
254	3286	2190
255	3299	2177
256	3311	2164
257	3325	2152
258	3339	2140
259	3350	2126
260	3364	2113
261	3375	2100
262	3389	2087
263	3400	2073
264	3411	2059
265	3424	2047
266	3436	2033
267	3447	2019
268	3460	2006
269	3471	1993
270	3484	1979
271	3497	1967
272	3509	1953
273	3521	1940
274	3534	1927
275	3545	1914
276	3555	1899
277	3569	1887
278	3582	1874
279	3595	1861
280	3606	1847
281	3619	1835
282	3633	1822
283	3645	1809
284	3657	1796
285	3669	1783
286	3681	1770
287	3695	1758
288	3707	1744
289	3719	1731
290	3733	1719
291	3746	1706
292	3758	1693
293	3773	1681
294	3787	1668
295	3797	1655
296	3810	1642
297	3823	1629
298	3836	1616
299	3848	1603
300	3862	1591
301	3872	1577
302	3886	1564
303	3898	1551
304	3910	1538
